LAUNCHED,YPR1,YPR2,YPR3,VOLTAGE
70703,0.12,-0.10,-0.29,3.33
70744,0.16,-0.14,-0.30,3.59
70784,0.19,-0.19,-0.32,4.64
70825,0.21,-0.24,-0.35,4.81
70865,0.24,-0.30,-0.39,4.17
70906,0.24,-0.38,-0.45,4.55
70946,0.24,-0.43,-0.48,4.29
70987,0.23,-0.48,-0.50,4.17
71029,0.22,-0.52,-0.50,3.96
71070,0.21,-0.54,-0.51,4.14
71110,0.21,-0.54,-0.51,4.17
71151,0.20,-0.55,-0.52,3.74
71192,0.20,-0.55,-0.51,4.01
71235,0.24,-0.52,-0.49,3.86
71276,0.32,-0.44,-0.44,4.10
71317,0.45,-0.28,-0.33,5.00
71359,0.55,-0.19,-0.24,5.00
71400,0.61,-0.15,-0.16,5.00
71440,0.67,-0.13,-0.07,5.00
71480,0.71,-0.12,-0.02,5.00
71521,0.73,-0.13,0.01,5.00
71561,0.75,-0.13,0.02,4.26
71602,0.77,-0.12,0.03,4.36
71643,0.78,-0.12,0.05,3.47
71683,0.80,-0.11,0.06,3.61
71724,0.80,-0.11,0.06,3.61
71765,0.81,-0.11,0.06,3.61
71805,0.81,-0.10,0.05,3.61
71848,0.82,-0.09,0.06,3.61
71888,0.82,-0.09,0.06,3.61
71929,0.84,-0.09,0.05,5.00
71973,0.90,-0.07,0.06,3.52
72014,1.02,-0.04,0.05,5.00
72054,1.17,0.05,0.04,5.00
72095,1.39,0.18,0.03,5.00
72138,1.52,0.28,0.05,5.00
72178,1.61,0.37,0.07,5.00
72219,1.67,0.39,0.06,5.00
72260,1.72,0.38,0.05,5.00
72301,1.78,0.35,0.06,5.00
72342,1.85,0.34,0.09,5.00
72382,1.93,0.32,0.14,5.00
72423,1.96,0.31,0.13,5.00
72464,1.95,0.31,0.12,4.99
72504,1.96,0.33,0.11,5.00
72546,1.95,0.33,0.10,5.00
72587,1.95,0.33,0.10,5.00
72628,1.95,0.35,0.10,5.00
72669,1.94,0.39,0.09,5.00
72710,1.92,0.44,0.06,5.00
72753,1.88,0.52,0.04,5.00
72794,1.84,0.64,0.03,5.00
72837,1.83,0.71,0.03,5.00
72878,1.80,0.75,-0.01,5.00
72919,1.76,0.77,-0.06,5.00
72959,1.73,0.80,-0.10,5.00
73000,1.72,0.84,-0.11,5.00
73041,1.70,0.85,-0.15,5.00
73082,1.69,0.84,-0.17,5.00
73123,1.68,0.84,-0.17,5.00
73166,1.68,0.83,-0.18,5.00
73207,1.68,0.83,-0.17,5.00
73248,1.68,0.82,-0.17,4.87
73289,1.69,0.81,-0.16,4.57
73329,1.69,0.77,-0.15,4.53
73370,1.73,0.67,-0.09,4.91
73411,1.75,0.56,-0.05,5.00
73452,1.76,0.44,-0.02,4.52
73496,1.78,0.31,0.01,4.17
73539,1.77,0.26,0.03,5.00
73580,1.78,0.22,0.04,5.00
73621,1.78,0.18,0.04,4.54
73662,1.79,0.17,0.04,4.94
73703,1.79,0.18,0.04,4.85
73746,1.79,0.19,0.05,3.99
73787,1.80,0.19,0.05,4.05
73827,1.80,0.20,0.05,3.98
73868,1.80,0.21,0.06,4.35
73909,1.80,0.21,0.06,3.73
73951,1.80,0.22,0.06,4.15
73992,1.80,0.23,0.06,4.19
74035,1.80,0.23,0.05,4.18
74076,1.80,0.23,0.05,3.93
74117,1.80,0.23,0.05,3.79
74158,1.81,0.23,0.06,3.89
74199,1.81,0.24,0.06,3.93
74240,1.81,0.24,0.06,3.88
74285,1.81,0.25,0.06,4.03
74328,1.81,0.25,0.05,4.65
74369,1.81,0.25,0.05,4.21
74410,1.81,0.25,0.05,3.94
74451,1.81,0.26,0.05,4.00
74494,1.81,0.26,0.05,4.07
74535,1.81,0.26,0.05,4.12
74577,1.81,0.26,0.05,4.05
74618,1.80,0.26,0.05,3.99
74659,1.80,0.26,0.05,3.95
74701,1.80,0.27,0.05,4.80
74742,1.80,0.27,0.05,4.03
74785,1.80,0.27,0.05,4.00
74826,1.80,0.28,0.05,3.99
74868,1.80,0.28,0.05,3.95
74909,1.80,0.28,0.05,5.00
74950,1.81,0.29,0.05,3.95
74992,1.81,0.29,0.05,4.11
75035,1.81,0.30,0.05,4.05
75079,1.81,0.30,0.06,3.95
75121,1.81,0.31,0.06,4.90
75165,1.81,0.31,0.06,4.29
75204,1.81,0.31,0.05,4.24
75243,1.81,0.31,0.05,4.28
75283,1.81,0.32,0.05,4.25
75321,1.81,0.33,0.06,4.73
75367,1.81,0.32,0.06,4.26
75406,1.80,0.32,0.05,4.26
75445,1.80,0.32,0.05,4.33
75484,1.80,0.32,0.05,4.17
75524,1.80,0.32,0.05,4.34
75563,1.80,0.32,0.05,4.26
75603,1.80,0.33,0.05,4.26
75642,1.79,0.33,0.06,4.33
75682,1.79,0.33,0.06,4.29
75721,1.79,0.33,0.06,4.41
75761,1.78,0.33,0.05,4.36
75800,1.78,0.33,0.06,4.19
75842,1.78,0.33,0.07,4.49
75882,1.78,0.33,0.07,5.00
75921,1.78,0.33,0.08,4.14
75960,1.77,0.31,0.07,3.68
75999,1.76,0.28,0.07,3.67
76039,1.76,0.23,0.07,4.57
76079,1.76,0.18,0.07,3.96
76118,1.76,0.15,0.08,4.62
76156,1.77,0.12,0.08,4.52
76196,1.78,0.10,0.07,4.99
76235,1.78,0.08,0.06,5.00
76275,1.79,0.07,0.05,5.00
76315,1.80,0.06,0.04,5.00
76354,1.80,0.05,0.04,4.76
76394,1.80,0.06,0.03,4.37
76434,1.80,0.07,0.04,3.88
76472,1.80,0.07,0.04,3.70
76512,1.79,0.07,0.03,3.49
76552,1.79,0.07,0.02,3.59
76594,1.78,0.07,0.01,3.61
76634,1.77,0.07,0.01,3.61
76673,1.77,0.07,0.01,3.62
76713,1.77,0.08,0.02,3.61
76753,1.76,0.09,0.02,3.61
76793,1.77,0.08,0.03,3.59
76832,1.76,0.09,0.03,3.61
76872,1.76,0.09,0.02,3.61
76912,1.76,0.10,0.02,3.61
76952,1.76,0.12,0.02,3.61
76991,1.75,0.14,0.03,3.61
77031,1.76,0.17,0.05,3.60
77070,1.76,0.19,0.05,4.16
77110,1.76,0.19,0.05,3.98
77150,1.75,0.20,0.04,3.63
LAUNCHED,YPR1,YPR2,YPR3,VOLTAGE
0,0.07,-0.36,-0.14,4.16
6,0.06,-0.38,-0.13,3.85
10,0.06,-0.40,-0.12,3.69
20,0.05,-0.41,-0.11,3.73
28,0.04,-0.42,-0.09,3.60
37,0.02,-0.43,-0.08,3.73
47,0.01,-0.44,-0.08,3.63
57,0.01,-0.44,-0.07,3.63
67,0.02,-0.44,-0.07,3.63
77,0.03,-0.43,-0.07,5.00
87,0.04,-0.42,-0.08,5.00
97,0.05,-0.40,-0.08,5.00
107,0.06,-0.38,-0.09,5.00
117,0.06,-0.36,-0.09,5.00
127,0.07,-0.35,-0.10,5.00
137,0.07,-0.33,-0.11,5.00
146,0.07,-0.31,-0.12,5.00
157,0.07,-0.29,-0.13,5.00
167,0.08,-0.27,-0.14,4.98
177,0.08,-0.25,-0.14,5.00
187,0.08,-0.23,-0.15,5.00
197,0.08,-0.21,-0.16,5.00
210,0.08,-0.19,-0.16,5.00
217,0.08,-0.18,-0.17,5.00
227,0.07,-0.18,-0.18,5.00
236,0.06,-0.17,-0.18,4.38
247,0.06,-0.16,-0.19,5.00
257,0.06,-0.14,-0.19,4.19
267,0.06,-0.13,-0.19,5.00
276,0.06,-0.11,-0.18,4.64
287,0.06,-0.10,-0.18,5.00
297,0.06,-0.09,-0.18,5.00
306,0.06,-0.08,-0.18,5.00
316,0.05,-0.07,-0.18,4.56
327,0.05,-0.07,-0.19,4.90
337,0.05,-0.06,-0.19,4.45
347,0.05,-0.06,-0.20,4.57
356,0.05,-0.06,-0.20,4.35
366,0.05,-0.05,-0.20,5.00
377,0.05,-0.05,-0.19,4.82
387,0.05,-0.04,-0.19,4.41
399,0.05,-0.03,-0.18,4.97
406,0.04,-0.02,-0.18,5.00
417,0.04,-0.01,-0.18,4.48
426,0.03,-0.00,-0.18,4.94
436,0.03,0.00,-0.18,4.32
446,0.02,0.01,-0.19,4.62
457,0.01,0.01,-0.19,4.17
466,0.01,0.02,-0.20,5.00
476,0.01,0.01,-0.20,4.89
486,0.00,0.01,-0.20,5.00
524,-0.01,0.01,-0.20,4.03
562,-0.01,-0.00,-0.19,4.42
602,-0.02,-0.01,-0.18,3.90
642,-0.03,-0.03,-0.17,4.31
682,-0.04,-0.04,-0.15,4.32
721,-0.05,-0.04,-0.14,5.00
759,-0.07,-0.03,-0.12,4.46
799,-0.10,-0.04,-0.10,4.31
839,-0.14,-0.06,-0.10,4.29
882,-0.16,-0.07,-0.09,4.15
923,-0.17,-0.06,-0.10,4.18
962,-0.18,-0.05,-0.11,4.15
1002,-0.18,-0.03,-0.10,4.00
1042,-0.19,0.00,-0.10,4.37
1082,-0.20,0.04,-0.10,5.00
1122,-0.20,0.06,-0.09,4.60
1162,-0.21,0.07,-0.09,3.99
1202,-0.21,0.07,-0.10,3.84
1242,-0.22,0.08,-0.11,4.20
1282,-0.23,0.08,-0.11,4.04
1322,-0.23,0.08,-0.12,4.04
1362,-0.23,0.10,-0.12,4.28
1401,-0.23,0.11,-0.11,4.56
1441,-0.23,0.11,-0.11,4.26
1481,-0.23,0.11,-0.10,4.13
1521,-0.23,0.11,-0.10,4.16
1560,-0.23,0.11,-0.10,4.13
1603,-0.24,0.11,-0.09,4.10
1643,-0.25,0.10,-0.10,4.07
1683,-0.27,0.08,-0.11,4.88
1724,-0.29,0.08,-0.12,4.93
1764,-0.30,0.08,-0.12,5.00
1804,-0.31,0.06,-0.12,4.82
1844,-0.31,0.06,-0.11,4.17
1884,-0.32,0.06,-0.11,5.00
1924,-0.33,0.06,-0.11,3.95
1965,-0.33,0.05,-0.11,3.99
2005,-0.33,0.05,-0.11,3.92
2045,-0.34,0.06,-0.11,3.84
2085,-0.34,0.05,-0.10,4.93
2125,-0.34,0.05,-0.11,3.72
2166,-0.34,0.06,-0.10,3.71
2206,-0.35,0.06,-0.11,3.72
2246,-0.35,0.05,-0.11,3.70
2285,-0.35,0.06,-0.11,4.86
2326,-0.36,0.06,-0.11,3.94
2364,-0.38,0.05,-0.12,3.88
2404,-0.43,0.04,-0.12,5.00
2444,-0.52,0.03,-0.14,5.00
2484,-0.62,0.02,-0.17,5.00
2525,-0.68,-0.01,-0.18,5.00
2565,-0.73,-0.04,-0.17,5.00
2605,-0.80,-0.07,-0.17,4.73
2646,-0.85,-0.09,-0.17,5.00
2686,-0.91,-0.11,-0.15,5.00
2726,-0.99,-0.14,-0.15,5.00
2767,-1.03,-0.14,-0.15,5.00
2807,-1.06,-0.15,-0.14,5.00
2847,-1.11,-0.17,-0.13,4.91
2888,-1.14,-0.18,-0.12,5.00
2928,-1.17,-0.19,-0.12,5.00
2968,-1.21,-0.22,-0.13,5.00
3010,-1.23,-0.24,-0.14,5.00
3053,-1.22,-0.23,-0.15,4.97
3093,-1.22,-0.23,-0.15,4.12
3134,-1.22,-0.23,-0.16,4.17
3174,-1.21,-0.22,-0.16,4.15
3215,-1.20,-0.22,-0.16,3.99
3255,-1.20,-0.22,-0.16,3.91
3296,-1.18,-0.22,-0.16,4.13
3336,-1.15,-0.20,-0.16,4.31
3377,-1.05,-0.15,-0.12,3.87
3417,-0.95,-0.09,-0.11,5.00
3458,-0.79,-0.02,-0.10,4.78
3500,-0.62,0.04,-0.07,4.96
3540,-0.56,0.09,-0.07,4.06
3581,-0.52,0.12,-0.09,4.10
3622,-0.49,0.17,-0.12,4.16
3662,-0.47,0.22,-0.13,4.92
3703,-0.46,0.28,-0.16,4.22
3743,-0.47,0.36,-0.23,4.31
3787,-0.46,0.45,-0.34,4.64
3828,-0.43,0.51,-0.50,5.00
3870,-0.43,0.53,-0.65,5.00
3911,-0.42,0.52,-0.77,5.00
3950,-0.43,0.52,-0.85,4.18
3991,-0.44,0.52,-0.94,3.71
4032,-0.43,0.55,-1.00,3.96
4072,-0.40,0.61,-1.02,5.00
4113,-0.38,0.61,-1.06,5.00
4154,-0.35,0.64,-1.08,4.96
4195,-0.33,0.66,-1.09,5.00
4235,-0.31,0.64,-1.11,5.00
4276,-0.30,0.65,-1.11,4.62
4319,-0.30,0.65,-1.11,4.68
4359,-0.29,0.65,-1.11,4.71
4400,-0.29,0.67,-1.08,4.88
4441,-0.29,0.66,-1.05,4.59
4482,-0.30,0.64,-1.00,4.76
4523,-0.31,0.63,-0.88,3.87
4561,-0.33,0.59,-0.74,4.29
4602,-0.35,0.54,-0.64,5.00
4643,-0.34,0.47,-0.52,4.58
4684,-0.34,0.39,-0.43,4.50
4725,-0.36,0.30,-0.38,4.74
4766,-0.38,0.20,-0.34,4.86
4809,-0.37,0.14,-0.28,5.00
4850,-0.39,0.07,-0.24,5.00
4891,-0.40,0.03,-0.22,5.00
4931,-0.39,0.03,-0.20,5.00
4972,-0.38,0.06,-0.19,4.63
5013,-0.38,0.08,-0.20,4.46
5054,-0.37,0.09,-0.21,4.69
5095,-0.34,0.07,-0.19,3.69
5138,-0.33,0.05,-0.19,4.12
5179,-0.33,0.05,-0.19,4.15
5220,-0.32,0.04,-0.19,3.94
5261,-0.31,0.02,-0.18,4.07
5305,-0.28,-0.00,-0.15,3.70
5348,-0.26,0.00,-0.16,5.00
5389,-0.24,0.06,-0.17,4.27
5430,-0.22,0.17,-0.18,5.00
5471,-0.20,0.30,-0.20,5.00
5513,-0.19,0.41,-0.23,5.00
5554,-0.18,0.53,-0.28,5.00
5597,-0.17,0.60,-0.32,5.00
5638,-0.19,0.68,-0.33,4.76
5679,-0.21,0.77,-0.36,4.74
5720,-0.22,0.85,-0.39,4.80
5762,-0.21,0.91,-0.41,5.00
5803,-0.20,0.94,-0.43,5.00
5844,-0.20,0.94,-0.47,4.78
5887,-0.19,0.95,-0.48,4.76
5929,-0.19,0.95,-0.48,5.00
5970,-0.20,0.96,-0.51,4.50
6011,-0.21,0.97,-0.52,5.00
6056,-0.22,0.98,-0.52,5.00
6099,-0.22,0.98,-0.52,5.00
6140,-0.22,0.99,-0.51,4.76
6182,-0.22,0.99,-0.50,4.85
6223,-0.22,0.99,-0.49,4.68
6264,-0.22,0.99,-0.49,4.68
6307,-0.22,0.99,-0.49,4.68
6349,-0.23,0.99,-0.50,4.62
6390,-0.24,0.99,-0.49,5.00
6432,-0.24,0.99,-0.49,4.63
6473,-0.24,1.00,-0.49,4.72
6517,-0.24,1.00,-0.48,5.00
6558,-0.24,1.00,-0.47,4.70
6600,-0.24,1.01,-0.45,5.00
6641,-0.23,1.00,-0.43,4.53
6683,-0.23,1.01,-0.42,4.63
6723,-0.23,1.00,-0.40,4.48
6766,-0.21,0.99,-0.38,4.46
6812,-0.19,0.98,-0.35,4.37
6854,-0.17,0.91,-0.29,4.38
6897,-0.15,0.78,-0.27,5.00
6939,-0.14,0.63,-0.22,4.42
6981,-0.15,0.52,-0.14,4.62
7021,-0.17,0.37,-0.10,4.13
7063,-0.21,0.18,-0.08,4.99
7106,-0.23,0.07,-0.06,4.52
7148,-0.22,0.00,-0.03,5.00
7190,-0.21,-0.03,0.00,5.00
7231,-0.19,-0.06,0.03,4.56
7275,-0.17,-0.06,0.03,4.46
7317,-0.17,-0.06,0.03,4.19
7358,-0.15,-0.06,0.04,3.95
7400,-0.14,-0.05,0.04,4.13
7442,-0.13,-0.04,0.03,3.82
7485,-0.11,-0.02,0.03,3.42
7527,-0.10,-0.01,0.04,3.62
7569,-0.09,-0.01,0.04,3.60
7614,-0.07,-0.00,0.04,3.62
7658,-0.06,0.01,0.04,3.62
7700,-0.06,0.00,0.03,3.62
7742,-0.05,0.01,0.03,3.61
7785,-0.04,0.02,0.03,3.62
7827,-0.01,0.04,0.03,3.60
7869,0.00,0.05,0.02,5.00
7911,0.02,0.04,0.03,4.04
7955,0.02,0.05,0.03,3.58
7997,0.03,0.05,0.02,3.60
8039,0.04,0.06,0.02,3.61
8081,0.06,0.08,0.01,3.60
8124,0.06,0.09,0.01,3.61
8166,0.08,0.11,0.02,3.61
8208,0.11,0.15,0.03,3.61
8250,0.15,0.25,0.02,4.91
8294,0.17,0.34,0.02,5.00
8336,0.20,0.45,0.01,4.37
8378,0.22,0.56,0.02,5.00
8424,0.22,0.66,0.03,4.39
8468,0.22,0.71,0.03,4.28
8510,0.23,0.79,0.02,4.79
8553,0.26,0.87,-0.00,5.00
8596,0.29,0.90,0.00,5.00
8638,0.33,0.94,-0.02,4.51
8678,0.37,0.96,-0.02,5.00
8717,0.41,0.99,-0.03,5.00
8756,0.41,1.01,-0.03,5.00
8796,0.42,1.05,-0.05,4.93
8841,0.42,1.09,-0.04,5.00
8882,0.43,1.11,-0.07,5.00
8921,0.44,1.13,-0.07,4.82
8961,0.43,1.13,-0.06,5.00
9000,0.42,1.13,-0.07,4.38
9039,0.42,1.14,-0.08,4.92
9079,0.41,1.14,-0.08,5.00
9116,0.41,1.15,-0.08,4.56
9155,0.41,1.15,-0.08,4.62
9197,0.41,1.15,-0.09,5.00
9237,0.41,1.16,-0.08,3.82
9276,0.40,1.15,-0.08,4.66
9315,0.41,1.15,-0.07,4.29
9355,0.41,1.16,-0.07,4.30
9394,0.42,1.17,-0.07,4.32
9434,0.43,1.17,-0.08,4.11
9473,0.44,1.17,-0.08,4.92
9513,0.44,1.17,-0.09,3.70
9552,0.44,1.17,-0.09,5.00
9592,0.45,1.17,-0.10,5.00
9632,0.45,1.17,-0.11,4.80
9671,0.44,1.17,-0.11,5.00
9710,0.44,1.17,-0.12,4.81
9749,0.43,1.17,-0.13,5.00
9789,0.42,1.17,-0.14,4.34
9829,0.42,1.17,-0.14,5.00
9868,0.41,1.16,-0.15,3.87
9908,0.41,1.17,-0.15,3.95
9950,0.40,1.16,-0.15,3.97
9990,0.40,1.16,-0.15,3.97
10030,0.40,1.17,-0.15,4.67
10069,0.40,1.17,-0.16,3.97
10109,0.41,1.17,-0.16,4.09
10149,0.41,1.17,-0.16,5.00
10188,0.41,1.17,-0.17,3.81
10228,0.41,1.17,-0.20,4.84
10268,0.41,1.17,-0.19,5.00
10307,0.41,1.17,-0.19,4.17
10346,0.41,1.17,-0.19,4.29
10384,0.42,1.17,-0.19,3.81
10424,0.42,1.17,-0.18,3.71
10464,0.42,1.17,-0.19,3.70
10504,0.42,1.17,-0.19,3.62
10543,0.42,1.17,-0.19,3.90
10583,0.41,1.15,-0.19,3.58
10623,0.35,1.10,-0.24,3.86
10665,0.26,1.00,-0.31,5.00
10705,0.17,0.91,-0.35,5.00
10745,0.21,-0.91,-1.07,5.00
10785,-1.02,-2.42,2.81,5.00
10825,0.98,2.32,2.77,5.00
10864,-1.03,-1.08,1.28,5.00
10903,0.14,2.30,-2.26,5.00
10943,-0.31,2.82,-2.40,5.00
10983,0.77,-2.82,-2.04,5.00
11023,0.89,2.19,2.98,5.00
11063,0.29,-0.66,-1.25,5.00
11102,-0.86,-3.01,-2.62,5.00
11142,-0.86,2.83,-2.02,5.00
11182,-0.93,3.03,-2.31,5.00
11222,0.00,2.76,-2.38,5.00
11262,0.29,-0.63,-1.37,5.00
11302,-0.27,-0.87,-1.02,5.00
11342,-3.12,3.04,2.69,5.00
11393,-3.13,3.07,2.76,5.00
11434,-3.13,3.07,2.83,5.00
11474,-3.13,3.05,2.77,5.00
11514,-3.13,3.03,2.72,5.00
11554,-3.13,3.02,2.68,5.00
11594,-3.13,3.01,2.66,5.00
11634,-3.13,3.03,2.69,5.00
11674,-3.13,3.02,2.72,5.00
11713,-3.13,3.03,2.75,5.00
11754,-3.13,3.07,2.86,4.54
11794,-3.13,3.12,3.02,4.65
11834,-3.13,-3.09,-3.07,4.70
11874,-3.13,-3.00,-2.85,5.00
11916,-3.13,-2.98,-2.80,5.00
11956,-3.13,-3.03,-2.92,5.00
11996,-3.13,3.03,3.10,5.00
12037,-3.13,2.69,2.88,5.00
12077,-3.13,2.49,2.74,5.00
12120,-3.13,2.41,2.65,5.00
12160,-3.13,2.36,2.62,5.00
12200,-3.13,2.33,2.58,3.68
12240,-3.13,2.35,2.55,3.78
12280,-3.13,2.40,2.47,4.01
12321,-3.12,2.41,2.31,3.91
12361,-3.11,2.44,2.25,3.99
12401,-3.11,2.47,2.20,3.91
12440,-3.11,2.49,2.19,3.91
12480,-3.10,2.49,2.22,3.90
12520,-3.10,2.49,2.24,3.83
12561,-3.09,2.46,2.23,3.93
12601,-3.09,2.40,2.21,3.94
12641,-3.09,2.37,2.19,3.88
12681,-3.09,2.38,2.23,3.87
12721,-3.09,2.40,2.30,3.86
12761,-3.08,2.41,2.39,3.88
12802,-3.09,2.39,2.48,3.87
12842,-3.10,2.40,2.61,3.88
12885,-3.11,2.46,2.79,3.86
12927,-3.12,2.52,2.92,3.91
12967,-3.13,2.58,3.02,3.87
13007,-3.14,2.69,3.10,3.92
13047,3.13,2.77,-3.13,3.91
13088,3.13,2.83,-3.11,5.00
13128,3.12,2.81,-3.10,5.00
13168,3.13,2.73,-3.09,5.00
13208,3.13,2.67,-3.11,5.00
13248,3.14,2.63,-3.12,5.00
13289,-3.14,2.57,3.14,5.00
13329,-3.13,2.54,3.11,5.00
13369,-3.11,2.57,3.05,5.00
13410,-3.10,2.64,3.03,5.00
13450,-3.08,2.76,3.00,5.00
13491,-3.06,2.87,3.02,5.00
13531,-3.05,2.97,3.06,5.00
13571,-3.04,3.04,3.09,3.86
13615,-3.05,3.04,3.10,3.64
13657,-3.05,3.01,3.09,3.75
13697,-3.05,2.99,3.09,3.69
13737,-3.04,3.00,3.09,3.64
13778,-3.04,3.03,3.09,3.64
13818,-3.03,3.02,3.10,3.67
13859,-3.03,3.01,3.09,3.64
13899,-3.03,3.00,3.09,3.64
13939,-3.03,3.02,3.10,3.65
13980,-3.03,3.02,3.10,3.63
14019,-3.02,3.02,3.10,3.62
14060,-3.01,3.02,3.10,3.60
14100,-2.98,2.99,3.09,3.53
14140,-2.92,2.95,3.04,3.62
14181,-2.80,2.95,2.98,3.61
14223,-2.67,2.98,2.95,3.62
14263,-2.53,3.01,2.93,3.61
14304,-2.46,3.04,2.94,3.61
14347,-2.45,3.05,2.95,3.62
14388,-2.45,3.06,2.95,3.60
14428,-2.45,3.05,2.94,3.62
14469,-2.46,3.04,2.88,3.62
14509,-2.48,3.03,2.84,3.62
14550,-2.49,3.04,2.82,3.62
14590,-2.51,3.02,2.78,3.60
14631,-2.53,3.02,2.73,3.61
14673,-2.55,3.02,2.71,3.62
14714,-2.57,3.02,2.69,3.62
14754,-2.59,3.01,2.66,3.62
14795,-2.64,2.98,2.62,3.62
14835,-2.74,2.94,2.58,3.61
14876,-2.82,2.89,2.53,3.62
14915,-2.88,2.81,2.49,3.61
14956,-2.93,2.70,2.46,3.62
14997,-2.98,2.60,2.49,3.61
15037,-3.01,2.53,2.54,3.61
15081,-3.05,2.46,2.63,3.62
15123,-3.06,2.43,2.69,3.61
15163,-3.07,2.42,2.71,3.62
15204,-3.07,2.43,2.70,3.61
15245,-3.08,2.44,2.70,3.62
15285,-3.08,2.47,2.71,3.62
15326,-3.08,2.55,2.74,3.62
15367,-3.08,2.62,2.79,3.62
15407,-3.07,2.64,2.80,3.60
15448,-3.06,2.63,2.79,3.61
15489,-3.05,2.58,2.75,3.62
15529,-3.03,2.53,2.68,3.61
15572,-3.03,2.54,2.67,3.62
15612,-3.03,2.55,2.68,3.62
15653,-3.03,2.59,2.70,3.62
15694,-3.03,2.61,2.72,3.62
15735,-3.02,2.61,2.73,3.62
15775,-3.02,2.65,2.75,3.62
15816,-3.03,2.71,2.80,3.62
15860,-3.03,2.79,2.87,3.60
15902,-3.02,2.82,2.91,3.62
15943,-3.02,2.89,2.95,3.62
15984,-3.01,3.01,3.03,3.62
16023,-2.99,3.14,3.12,3.60
16064,-2.97,-3.02,-3.07,3.62
16105,-2.95,-2.91,-2.97,5.00
16146,-2.91,-2.85,-2.90,5.00
16187,-2.87,-2.81,-2.85,5.00
16227,-2.83,-2.79,-2.82,5.00
16268,-2.80,-2.77,-2.81,5.00
16311,-2.79,-2.76,-2.82,5.00
16352,-2.81,-2.75,-2.85,5.00
16393,-2.82,-2.73,-2.85,5.00
16434,-2.82,-2.72,-2.86,5.00
16474,-2.83,-2.70,-2.87,5.00
16515,-2.84,-2.70,-2.88,5.00
16559,-2.84,-2.73,-2.91,5.00
16602,-2.85,-2.76,-2.94,5.00
16643,-2.86,-2.80,-2.98,5.00
16683,-2.87,-2.83,-3.00,5.00
16724,-2.87,-2.88,-3.03,5.00
16765,-2.87,-2.99,-3.08,5.00
16806,-2.90,-3.09,-3.12,5.00
16847,-2.92,3.14,3.14,5.00
16888,-2.92,3.14,3.14,5.00
16931,-2.93,3.11,3.14,5.00
16972,-2.94,3.07,3.13,5.00
17013,-2.94,3.05,3.12,5.00
17054,-2.95,3.04,3.12,5.00
17095,-2.96,3.05,3.12,5.00
17136,-2.97,3.09,3.13,5.00
17176,-2.97,3.11,3.13,5.00
17217,-2.97,3.12,3.14,5.00
17259,-2.97,3.13,3.14,4.85
17303,-2.97,3.13,3.14,3.44
17345,-2.98,3.13,3.14,3.61
17386,-2.98,-3.14,3.14,3.62
17427,-2.97,-3.12,-3.14,5.00
17469,-2.97,-3.13,-3.14,5.00
17511,-2.97,-3.13,-3.14,5.00
17552,-2.96,-3.12,-3.14,5.00
17593,-2.95,-3.10,-3.13,5.00
17634,-2.94,-3.07,-3.13,5.00
17675,-2.94,-3.06,-3.13,5.00
17716,-2.94,-3.07,-3.13,5.00
17759,-2.93,-3.05,-3.12,5.00
17800,-2.91,-3.04,-3.12,5.00
17841,-2.88,-3.04,-3.11,5.00
17882,-2.86,-3.04,-3.11,5.00
17923,-2.84,-3.05,-3.12,5.00
17965,-2.84,-3.06,-3.12,5.00
18009,-2.84,-3.06,-3.12,5.00
18052,-2.83,-3.06,-3.12,5.00
18093,-2.82,-3.05,-3.11,5.00
18134,-2.83,-3.04,-3.11,5.00
18175,-2.83,-3.07,-3.12,5.00
18218,-2.84,-3.09,-3.12,5.00
18259,-2.85,-3.11,-3.13,5.00
18301,-2.87,-3.13,-3.14,5.00
18342,-2.89,3.14,3.14,5.00
18383,-2.92,3.14,3.14,5.00
18424,-2.94,3.13,3.14,5.00
18466,-2.99,3.09,3.13,5.00
18509,-3.04,3.05,3.13,5.00
18550,-3.07,3.01,3.13,5.00
18591,-3.09,3.01,3.13,5.00
18632,-3.10,3.03,3.13,5.00
18674,-3.10,3.00,3.14,5.00
18715,-3.10,2.93,3.14,5.00
18761,-3.09,2.88,3.12,4.83
18801,-3.08,2.87,3.11,3.61
18839,-3.08,2.86,3.11,3.59
18879,-3.08,2.85,3.11,3.60
18924,-3.08,2.84,3.11,3.61
18965,-3.07,2.84,3.10,3.61
19005,-3.06,2.81,3.09,3.62
19044,-3.04,2.80,3.07,3.61
19084,-3.01,2.80,3.06,3.61
19123,-2.98,2.77,3.03,3.62
19161,-2.92,2.73,2.96,3.62
19201,-2.82,2.74,2.89,3.62
19240,-2.69,2.84,2.89,3.60
19280,-2.59,2.93,2.92,3.62
19319,-2.53,2.99,2.97,3.61
19359,-2.47,3.03,3.00,3.62
19398,-2.42,3.06,3.03,3.61
19437,-2.36,3.10,3.07,3.62
19479,-2.30,3.13,3.12,3.62
19519,-2.27,3.13,3.13,3.61
19559,-2.27,3.12,3.10,3.62
19598,-2.31,3.11,3.09,3.61
19638,-2.39,3.12,3.09,3.62
19677,-2.49,3.13,3.11,3.61
19717,-2.60,3.13,3.11,3.62
19757,-2.71,3.13,3.12,3.62
19796,-2.81,-3.13,3.14,3.62
19836,-2.88,-3.11,-3.13,5.00
19876,-2.93,-3.13,3.14,5.00
19915,-2.97,3.14,3.13,5.00
19955,-3.00,3.14,3.13,5.00
