LAUNCHED,YPR1,YPR2,YPR3,VOLTAGE
4624,0.68,-0.73,0.40,3.69
4661,0.68,-0.73,0.40,4.16
4700,0.68,-0.73,0.40,3.87
4737,0.68,-0.73,0.40,3.64
4776,0.68,-0.72,0.39,3.61
4814,0.67,-0.71,0.39,3.58
4853,0.67,-0.70,0.39,4.07
4892,0.66,-0.69,0.38,3.76
4931,0.66,-0.67,0.38,4.67
4969,0.65,-0.65,0.37,4.90
5005,0.63,-0.62,0.35,4.43
5044,0.61,-0.57,0.31,5.00
5086,0.57,-0.51,0.26,5.00
5125,0.55,-0.43,0.19,5.00
5164,0.51,-0.32,0.10,5.00
5203,0.48,-0.19,0.02,5.00
5242,0.46,-0.06,-0.07,5.00
5281,0.43,0.05,-0.15,5.00
5320,0.41,0.12,-0.18,5.00
5359,0.41,0.16,-0.18,5.00
5396,0.43,0.21,-0.17,4.09
5435,0.44,0.26,-0.15,4.50
5472,0.44,0.29,-0.15,4.76
5511,0.44,0.30,-0.16,4.82
5550,0.44,0.31,-0.16,4.56
5589,0.44,0.30,-0.16,4.33
5628,0.43,0.30,-0.16,4.24
5665,0.43,0.29,-0.16,4.11
5704,0.43,0.30,-0.15,3.97
5743,0.43,0.29,-0.15,3.63
5782,0.43,0.29,-0.15,3.71
5824,0.43,0.29,-0.15,3.57
5863,0.43,0.30,-0.15,3.53
5901,0.43,0.30,-0.15,3.62
5940,0.43,0.30,-0.15,3.63
5979,0.43,0.30,-0.15,3.61
6018,0.43,0.30,-0.14,3.61
6055,0.43,0.31,-0.14,3.63
6094,0.42,0.33,-0.15,3.63
6133,0.41,0.37,-0.15,4.22
6172,0.41,0.40,-0.16,4.39
6211,0.41,0.43,-0.17,4.52
6250,0.41,0.44,-0.18,4.17
6289,0.40,0.44,-0.21,4.73
6327,0.38,0.43,-0.23,5.00
6365,0.35,0.38,-0.25,5.00
6404,0.27,0.30,-0.28,5.00
6443,0.17,0.17,-0.31,5.00
6483,0.07,0.03,-0.31,5.00
6520,-0.02,-0.09,-0.29,5.00
6560,-0.08,-0.19,-0.25,5.00
6598,-0.12,-0.25,-0.21,5.00
6635,-0.16,-0.32,-0.16,4.93
6676,-0.18,-0.37,-0.10,4.44
6712,-0.17,-0.40,-0.04,4.63
6749,-0.15,-0.43,0.02,4.61
6787,-0.13,-0.45,0.06,5.00
6822,-0.10,-0.47,0.11,5.00
6859,-0.04,-0.49,0.16,5.00
6897,-0.00,-0.50,0.20,5.00
6932,0.04,-0.51,0.23,4.36
6969,0.10,-0.53,0.26,4.82
7006,0.15,-0.54,0.27,5.00
7042,0.22,-0.53,0.30,5.00
7079,0.27,-0.51,0.31,5.00
7116,0.31,-0.49,0.31,4.70
7152,0.36,-0.44,0.32,4.55
7189,0.42,-0.39,0.34,5.00
7229,0.47,-0.31,0.35,4.91
7266,0.48,-0.24,0.35,5.00
7301,0.50,-0.15,0.36,5.00
7339,0.52,-0.04,0.37,5.00
7376,0.52,0.04,0.36,5.00
7412,0.52,0.11,0.37,4.45
7449,0.53,0.15,0.34,5.00
7487,0.52,0.20,0.31,4.66
7523,0.50,0.23,0.27,5.00
7559,0.50,0.27,0.21,5.00
7596,0.48,0.33,0.11,4.27
7634,0.44,0.36,0.02,5.00
7669,0.38,0.37,-0.09,5.00
7707,0.27,0.34,-0.22,5.00
7744,0.20,0.30,-0.29,5.00
7779,0.09,0.23,-0.37,5.00
7817,-0.02,0.15,-0.44,5.00
7854,-0.09,0.08,-0.46,5.00
7890,-0.15,0.02,-0.47,4.63
7930,-0.17,-0.01,-0.46,4.97
7968,-0.18,-0.02,-0.45,4.26
8005,-0.17,-0.02,-0.44,4.55
8041,-0.17,-0.03,-0.44,3.70
8077,-0.17,-0.03,-0.43,3.99
8115,-0.17,-0.04,-0.42,3.52
8151,-0.17,-0.04,-0.42,3.60
8188,-0.17,-0.04,-0.41,3.60
8226,-0.17,-0.04,-0.41,3.62
8263,-0.18,-0.04,-0.41,3.62
8299,-0.18,-0.04,-0.41,3.62
8337,-0.17,-0.03,-0.41,3.63
8373,-0.16,-0.03,-0.40,3.62
8409,-0.15,-0.02,-0.39,3.62
8447,-0.14,-0.01,-0.38,4.31
8484,-0.13,-0.00,-0.37,4.76
8520,-0.11,0.00,-0.36,4.17
8558,-0.10,0.01,-0.35,4.67
8598,-0.09,0.02,-0.34,3.84
8636,-0.08,0.03,-0.33,4.84
8672,-0.07,0.03,-0.33,4.74
8708,-0.07,0.04,-0.31,4.19
8746,-0.06,0.04,-0.29,5.00
8784,-0.05,0.05,-0.27,5.00
8820,-0.03,0.05,-0.24,5.00
8857,0.01,0.06,-0.19,5.00
8895,0.05,0.07,-0.15,4.83
8932,0.06,0.08,-0.12,4.69
8968,0.09,0.09,-0.09,4.65
9005,0.11,0.09,-0.07,5.00
9043,0.13,0.08,-0.05,4.95
9079,0.15,0.08,-0.03,4.83
9117,0.16,0.08,-0.02,3.97
9154,0.18,0.07,-0.00,3.89
9192,0.19,0.06,0.02,4.16
9227,0.21,0.04,0.05,4.49
9265,0.22,0.02,0.08,5.00
9306,0.24,-0.01,0.12,4.79
9344,0.25,-0.04,0.15,4.94
9381,0.26,-0.07,0.17,5.00
9418,0.27,-0.10,0.20,3.84
9455,0.28,-0.14,0.23,4.38
9493,0.29,-0.17,0.25,4.78
9529,0.30,-0.20,0.28,4.53
9566,0.31,-0.24,0.31,4.89
9604,0.33,-0.28,0.33,5.00
9642,0.35,-0.31,0.35,5.00
9679,0.37,-0.35,0.37,4.26
9717,0.39,-0.37,0.38,4.11
9755,0.40,-0.39,0.40,4.53
